CLIENTE,MES,ANIO,MONTO,Tipo_Moneda,Tipo_Cambio,,,,,,,,,,,,,,,,,,,,,,
KTMEX,7,2022," $2,900.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
KTMEX,8,2022," $47,496.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
KTMEX,9,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
KTMEX,10,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
KTMEX,11,2022," $17,088.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
KTMEX,12,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAGNA CELAYA,1,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAGNA CELAYA,2,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAGNA CELAYA,3,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAGNA CELAYA,4,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAGNA CELAYA,5,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAGNA CELAYA,6,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAGNA CELAYA,7,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAGNA CELAYA,8,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAGNA CELAYA,9,2022," $118,250.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAGNA CELAYA,10,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAGNA CELAYA,11,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAGNA CELAYA,12,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
HELLA,1,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
HELLA,2,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
HELLA,3,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
HELLA,4,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
HELLA,5,2022," $40,980.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
HELLA,6,2022," $59,460.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
HELLA,7,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
HELLA,8,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
HELLA,9,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
HELLA,10,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
HELLA,11,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
HELLA,12,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
TOYOTETSU,1,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
TOYOTETSU,2,2022," $8,559.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
TOYOTETSU,3,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
TOYOTETSU,4,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
TOYOTETSU,5,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
TOYOTETSU,6,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
TOYOTETSU,7,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
TOYOTETSU,8,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
TOYOTETSU,9,2022," $87,481.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
TOYOTETSU,10,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
TOYOTETSU,11,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
TOYOTETSU,12,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MITCHELL,1,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MITCHELL,2,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MITCHELL,3,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MITCHELL,4,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MITCHELL,5,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MITCHELL,6,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MITCHELL,7,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MITCHELL,8,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MITCHELL,9,2022," $48,214.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MITCHELL,10,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MITCHELL,11,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MITCHELL,12,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAYO,1,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAYO,2,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAYO,3,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAYO,4,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAYO,5,2022," $46,125.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAYO,6,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAYO,7,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAYO,8,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAYO,9,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAYO,10,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAYO,11,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAYO,12,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
SUNWA,1,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
SUNWA,2,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
SUNWA,3,2022," $26,591.25 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
SUNWA,4,2022," $1,830.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
SUNWA,5,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
SUNWA,6,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
SUNWA,7,2022," $2,345.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
SUNWA,8,2022," $2,040.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
SUNWA,9,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
SUNWA,10,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
SUNWA,11,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
SUNWA,12,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAYO,1,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAYO,2,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAYO,3,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
MAYO,4,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
